barangay_name,lgu_name,total_ha,canopy_pct_v6_2019,canopy_pct_v6_2020,canopy_pct_v6_2021,canopy_pct_v6_2022,canopy_pct_v6_2023,canopy_pct_v6_2024,canopy_pct_v6_2025,canopy_pct_v6_2026,canopy_ha_v6_2019,canopy_ha_v6_2020,canopy_ha_v6_2021,canopy_ha_v6_2022,canopy_ha_v6_2023,canopy_ha_v6_2024,canopy_ha_v6_2025,canopy_ha_v6_2026
Quirino 3-A,Quezon City,5.5,0.262,1.349,1.513,2.581,0.885,2.461,2.169,3.96,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.2
Ramon Magsaysay,Quezon City,35.1,2.648,4.314,4.696,2.998,4.475,5.611,2.862,3.752,0.9,1.5,1.6,1.1,1.6,2.0,1.0,1.3
Roxas,Quezon City,45.9,7.266,9.326,8.558,9.393,8.099,10.031,8.444,6.151,3.3,4.3,3.9,4.3,3.7,4.6,3.9,2.8
Sacred Heart,Quezon City,57.9,5.786,6.319,5.886,6.114,5.23,8.022,8.16,4.372,3.4,3.7,3.4,3.5,3.0,4.6,4.7,2.5
Saint Ignatius,Quezon City,25.0,8.477,7.694,6.99,9.119,7.004,8.556,10.183,8.333,2.1,1.9,1.7,2.3,1.8,2.1,2.5,2.1
Saint Peter,Quezon City,26.9,1.047,2.065,1.899,1.966,2.614,2.784,2.871,0.433,0.3,0.6,0.5,0.5,0.7,0.7,0.8,0.1
Salvacion,Quezon City,21.0,1.694,1.175,1.679,2.034,1.055,0.671,2.661,0.964,0.4,0.2,0.4,0.4,0.2,0.1,0.6,0.2
San Agustin,Quezon City,104.9,10.788,11.082,11.882,8.219,11.209,9.75,11.046,9.98,11.3,11.6,12.5,8.6,11.8,10.2,11.6,10.5
San Antonio,Quezon City,74.6,4.97,6.22,5.885,5.81,4.824,7.11,4.476,5.983,3.7,4.6,4.4,4.3,3.6,5.3,3.3,4.5
San Bartolome,Quezon City,359.1,8.369,9.073,9.082,7.905,7.385,9.313,10.484,7.737,30.1,32.6,32.6,28.4,26.5,33.4,37.6,27.8
San Isidro,Quezon City,12.0,1.342,1.397,1.545,1.14,2.523,2.105,2.583,0.689,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.1
San Isidro Labrador,Quezon City,25.8,2.943,2.817,2.449,3.103,3.47,3.849,5.515,2.39,0.8,0.7,0.6,0.8,0.9,1.0,1.4,0.6
San Jose,Quezon City,26.1,1.24,2.062,1.886,1.761,0.894,2.38,2.472,2.301,0.3,0.5,0.5,0.5,0.2,0.6,0.6,0.6
San Martin de Porres,Quezon City,21.1,5.433,4.935,5.013,3.628,4.67,5.448,5.006,5.371,1.1,1.0,1.1,0.8,1.0,1.1,1.1,1.1
San Roque,Quezon City,65.4,4.434,3.74,4.262,3.952,3.041,5.234,5.048,4.624,2.9,2.4,2.8,2.6,2.0,3.4,3.3,3.0
San Vicente,Quezon City,11.9,12.158,14.317,12.872,9.196,9.571,12.636,12.73,10.506,1.5,1.7,1.5,1.1,1.1,1.5,1.5,1.3
Sangandaan,Quezon City,91.1,5.514,7.062,5.905,5.477,5.541,6.69,6.663,5.422,5.0,6.4,5.4,5.0,5.0,6.1,6.1,4.9
