barangay_name,lgu_name,total_ha,canopy_pct_model_2019,canopy_pct_model_2020,canopy_pct_model_2021,canopy_pct_model_2022,canopy_pct_model_2023,canopy_pct_model_2024,canopy_pct_model_2025,canopy_pct_model_2026,canopy_ha_model_2019,canopy_ha_model_2020,canopy_ha_model_2021,canopy_ha_model_2022,canopy_ha_model_2023,canopy_ha_model_2024,canopy_ha_model_2025,canopy_ha_model_2026
East Rembo,Taguig,50.2,0.174,0.694,0.347,0.521,0.174,0.174,1.042,0.0,0.1,0.3,0.2,0.3,0.1,0.1,0.5,0.0
Fort Bonifacio,Taguig,446.5,15.22,17.396,17.202,17.562,18.992,16.06,18.277,18.276,68.1,77.9,77.0,78.6,85.0,71.9,81.7,81.6
Lower Bicutan,Taguig,132.9,8.191,8.191,8.912,9.502,9.699,6.946,6.815,7.143,10.9,10.9,11.8,12.6,12.9,9.2,9.1,9.5
Maharlika Village,Taguig,45.6,7.457,7.839,7.648,7.648,10.134,7.075,8.413,7.648,3.4,3.6,3.5,3.5,4.6,3.2,3.8,3.5
Napindan,Taguig,215.6,2.09,2.854,2.01,2.211,2.733,2.412,2.715,2.788,4.5,6.2,4.4,4.8,5.9,5.2,5.8,6.0
New Lower Bicutan,Taguig,120.3,5.214,5.938,6.083,4.49,5.938,4.562,4.924,4.49,6.3,7.1,7.3,5.4,7.1,5.5,5.9,5.4
North Daang Hari,Taguig,12.7,6.897,7.534,7.534,10.959,10.959,4.795,6.207,4.11,0.9,1.0,1.0,1.4,1.4,0.6,0.8,0.5
Pembo,Taguig,72.5,0.12,0.361,0.481,0.601,0.601,0.721,0.24,0.24,0.1,0.3,0.3,0.4,0.4,0.5,0.2,0.2
Pinagsama,Taguig,298.6,7.93,10.0,10.554,9.828,11.458,8.55,9.921,9.274,23.7,29.9,31.5,29.4,34.2,25.5,29.6,27.7
Pitogo,Taguig,17.0,3.077,4.615,3.59,3.077,3.59,3.077,3.59,4.103,0.5,0.8,0.6,0.5,0.6,0.5,0.6,0.7
Post Proper Northside,Taguig,5.8,2.985,7.463,8.955,7.463,4.478,7.463,10.448,10.448,0.2,0.4,0.5,0.4,0.3,0.4,0.6,0.6
Post Proper Southside,Taguig,11.2,68.992,67.442,70.543,68.992,72.093,64.341,66.667,64.341,7.8,7.6,7.9,7.8,8.1,7.2,7.5,7.2
Rizal,Taguig,72.5,0.481,0.962,0.24,0.361,0.481,0.481,0.0,0.361,0.3,0.7,0.2,0.3,0.3,0.3,0.0,0.3
Santa Ana,Taguig,211.1,1.196,2.269,2.145,1.691,1.898,1.196,1.568,1.485,2.5,4.8,4.5,3.6,4.0,2.5,3.3,3.1
South Cembo,Taguig,21.2,0.823,0.823,0.823,1.235,2.058,1.646,1.235,1.646,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.3
South Daang Hari,Taguig,28.3,8.0,8.923,9.231,10.769,10.154,8.308,10.154,8.615,2.3,2.5,2.6,3.0,2.9,2.4,2.9,2.4
Tanyag,Taguig,36.6,6.905,8.095,7.143,8.095,8.81,7.857,7.857,8.333,2.5,3.0,2.6,3.0,3.2,2.9,2.9,3.0
Tuktukan,Taguig,31.6,4.683,5.785,6.336,6.336,5.785,6.336,6.336,6.061,1.5,1.8,2.0,2.0,1.8,2.0,2.0,1.9
Upper Bicutan,Taguig,45.5,0.383,0.192,0.0,0.192,0.383,0.0,0.575,0.383,0.2,0.1,0.0,0.1,0.2,0.0,0.3,0.2
West Rembo,Taguig,62.1,0.701,1.683,1.543,2.384,2.104,1.683,2.665,2.244,0.4,1.0,1.0,1.5,1.3,1.0,1.7,1.4
Western Bicutan,Taguig,625.0,17.045,19.362,19.788,20.499,22.324,19.099,19.79,19.83,106.5,121.0,123.7,128.1,139.5,119.2,123.3,123.9
Arkong Bato,Valenzuela,38.6,1.129,1.129,1.58,0.903,1.354,2.032,1.806,0.677,0.4,0.4,0.6,0.3,0.5,0.8,0.7,0.3
Balangkas,Valenzuela,127.6,5.051,7.986,10.307,8.601,9.625,7.918,9.42,3.618,6.4,10.2,13.2,11.0,12.3,10.1,12.0,4.6
Bignay,Valenzuela,331.4,10.115,10.94,14.166,13.595,13.33,9.162,14.614,9.645,33.7,36.4,47.2,45.3,44.4,30.5,48.3,32.0
Bisig,Valenzuela,14.3,5.488,6.098,10.366,6.707,4.268,4.878,6.707,1.829,0.8,0.9,1.5,1.0,0.6,0.7,1.0,0.3
Canumay East,Valenzuela,134.0,1.039,2.079,3.312,2.597,3.442,1.948,4.224,1.625,1.4,2.8,4.4,3.5,4.6,2.6,5.7,2.2
Canumay West,Valenzuela,170.7,5.274,7.563,8.063,6.805,6.897,6.034,8.333,4.235,9.1,13.0,13.8,11.7,11.8,10.4,14.3,7.2
Coloong,Valenzuela,199.5,4.278,6.155,6.591,5.762,5.893,4.365,5.543,2.663,8.5,12.3,13.2,11.5,11.8,8.7,11.1,5.3
Dalandanan,Valenzuela,155.6,2.632,3.919,4.703,3.024,3.471,2.464,4.031,2.128,4.1,6.1,7.3,4.7,5.4,3.8,6.3,3.3
Isla,Valenzuela,44.2,3.937,7.283,6.693,2.953,5.118,4.134,5.906,3.543,1.7,3.2,3.0,1.3,2.3,1.8,2.6,1.6
