barangay_name,lgu_name,total_ha,canopy_pct_2025,canopy_pct_2019,canopy_trend_pct_per_yr,flood_frac,flood_pct,hand_m,elev_m,builtup_prob,dist_water_m
Barangay 135,Pasay,4.4,11.785,9.803,0.0479,0.0,0.0,2.7,8.3,0.734,821.4
Barangay 135,Manila,2.5,0.26,3.909,-0.6321,0.0,0.0,1.46,5.67,0.7346,126.8
Barangay 136,Caloocan,9.2,1.367,1.136,-0.0853,0.0,0.0,8.96,26.92,0.7286,1931.0
Barangay 136,Pasay,3.4,6.817,4.623,0.5106,0.0,0.0,2.25,7.85,0.7485,937.1
Barangay 136,Manila,1.4,0.255,1.273,-0.1078,0.0,0.0,1.52,5.83,0.6592,213.7
Barangay 137,Caloocan,8.4,3.559,4.198,-0.041,0.0,0.0,13.13,26.66,0.7253,1754.8
Barangay 137,Pasay,2.7,12.372,8.553,0.1,0.0,0.0,0.89,6.49,0.7374,920.5
Barangay 137,Manila,2.3,0.314,0.087,0.1882,0.0,0.0,1.29,5.99,0.6944,52.1
Barangay 138,Caloocan,8.3,2.26,1.525,-0.0956,0.0,0.0,7.29,26.09,0.715,2031.6
Barangay 138,Pasay,1.3,7.751,2.162,0.5505,0.0,0.0,2.22,7.82,0.7453,824.6
Barangay 138,Manila,2.6,0.613,0.428,-0.0715,0.0,0.0,3.54,6.11,0.732,345.0
Barangay 139,Caloocan,8.4,3.008,1.528,-0.0572,0.0,0.0,5.05,23.85,0.6962,2159.2
Barangay 139,Pasay,1.2,9.047,0.998,0.5274,0.0,0.0,1.95,7.55,0.7344,747.4
Barangay 14,Pasay,2.6,3.178,3.386,0.4184,0.0,0.0,2.47,8.87,0.7334,313.3
Barangay 14,Caloocan,28.0,1.452,1.006,0.1471,0.0,0.0,1.62,6.54,0.7334,781.8
Barangay 140,Caloocan,5.8,5.353,2.676,0.3186,0.0,0.0,15.45,27.86,0.6203,1683.8
Barangay 140,Pasay,1.2,9.047,0.998,0.5274,0.0,0.0,2.11,7.71,0.7105,674.5
Barangay 140,Manila,1.7,0.859,0.35,0.1547,0.0,0.0,3.61,6.2,0.7084,220.8
Barangay 141,Caloocan,5.9,3.058,0.878,0.2065,0.0,0.0,8.49,27.18,0.7109,1936.1
Barangay 141,Pasay,1.7,5.825,2.186,0.2883,0.0,0.0,2.22,7.82,0.7435,583.5
Barangay 141,Manila,0.7,0.85,1.037,0.0643,0.0,0.0,3.37,6.06,0.6747,194.4
Barangay 142,Caloocan,2.7,0.083,0.0,0.0209,0.0,0.0,12.39,19.39,0.6575,1307.5
Barangay 142,Pasay,1.1,4.048,2.32,0.3557,0.0,0.0,2.16,7.76,0.7358,491.0
Barangay 142,Manila,1.6,0.046,1.782,-0.25,0.0,0.0,2.73,6.23,0.7241,306.4
Barangay 143,Caloocan,2.4,1.91,0.0,0.2221,0.0,0.0,13.17,21.62,0.6493,1462.9
Barangay 143,Pasay,6.2,7.406,5.302,0.2082,0.0,0.0,1.49,7.1,0.7255,710.8
Barangay 143,Manila,1.2,0.0,0.0,0.0636,0.0,0.0,1.43,5.7,0.7031,107.5
Barangay 144,Caloocan,3.1,2.193,0.639,0.1717,0.0,0.0,17.71,25.29,0.6652,1519.0
Barangay 144,Pasay,6.1,4.323,2.819,0.3519,0.0,0.0,0.84,7.56,0.7435,763.8
Barangay 145,Caloocan,3.0,0.0,0.0,0.0197,0.0,0.0,14.91,21.11,0.6264,1386.8
Barangay 145,Pasay,3.0,1.566,0.292,0.2575,0.0,0.0,3.12,8.09,0.7385,410.9
Barangay 145,Manila,1.7,0.0,0.0,0.0,0.0,0.0,1.44,5.64,0.7164,204.6
Barangay 146,Caloocan,2.5,0.485,0.198,-0.0341,0.0,0.0,21.72,27.94,0.6919,1612.1
Barangay 146,Pasay,5.6,5.915,5.064,0.4627,0.0,0.0,2.11,7.71,0.7338,533.2
Barangay 146,Manila,4.7,0.0,1.188,-0.169,0.0,0.0,1.66,5.95,0.6956,216.0
Barangay 147,Caloocan,3.6,2.076,0.21,0.1711,0.0,0.0,12.56,28.02,0.7237,1797.5
Barangay 147,Pasay,3.7,3.636,5.462,-0.0983,0.0,0.0,1.72,7.32,0.7416,438.1
Barangay 147,Manila,11.1,2.655,1.251,-0.1584,0.0,0.0,1.07,4.79,0.6045,85.5
Barangay 148,Caloocan,2.1,0.0,0.076,-0.0654,0.0,0.0,21.71,27.91,0.643,1564.2
Barangay 148,Pasay,9.1,7.3,4.024,0.3822,0.0,0.0,1.02,6.62,0.7288,240.1
Barangay 148,Manila,8.8,0.848,0.674,-0.0547,0.0,0.0,1.74,6.11,0.707,282.0
Barangay 149,Caloocan,4.8,0.055,0.71,0.0341,0.0,0.0,21.53,27.75,0.6058,1502.2
Barangay 149,Pasay,1.2,1.873,4.113,0.1241,0.0,0.0,1.29,6.89,0.7395,207.1
Barangay 149,Manila,6.3,0.519,0.0,0.1401,0.0,0.0,2.12,6.91,0.7036,269.8
Barangay 15,Pasay,3.3,6.058,7.434,0.4866,0.0,0.0,3.35,9.74,0.7342,218.0
Barangay 15,Caloocan,5.7,3.289,1.273,0.2863,0.0,0.0,7.73,16.09,0.7401,1374.0
Barangay 150,Caloocan,3.9,1.032,0.121,0.106,0.0,0.0,16.14,29.49,0.6462,1694.8
Barangay 150,Pasay,1.7,2.988,2.0,0.2122,0.0,0.0,1.48,7.08,0.73,375.1
Barangay 150,Manila,5.6,0.0,0.0,0.037,0.0,0.0,1.56,6.17,0.6394,129.7
Barangay 151,Caloocan,2.4,2.227,0.0,0.0991,0.0,0.0,8.24,27.04,0.7315,1897.7
Barangay 151,Pasay,2.4,2.96,2.042,0.2135,0.0,0.0,1.27,6.87,0.729,339.5
Barangay 151,Manila,2.4,0.472,0.379,-0.1745,0.0,0.0,1.53,5.83,0.5977,180.3
Barangay 152,Caloocan,3.1,1.218,1.286,0.0643,0.0,0.0,15.95,29.37,0.6586,1698.7
Barangay 152,Pasay,4.3,3.078,3.137,0.1165,0.0,0.0,1.21,6.81,0.7308,423.3
Barangay 152,Manila,2.4,2.789,0.0,0.1265,0.0,0.0,0.1,5.68,0.7239,631.9
Barangay 153,Caloocan,3.0,1.098,0.392,0.1652,0.0,0.0,9.77,28.57,0.6683,1825.6
Barangay 153,Pasay,1.8,1.144,2.756,-0.1212,0.0,0.0,1.08,6.68,0.7488,247.4
Barangay 153,Manila,2.2,2.305,0.0,0.2254,0.0,0.0,0.71,6.16,0.7278,512.8
Barangay 154,Caloocan,3.5,2.884,0.482,0.0896,0.0,0.0,8.51,27.31,0.7128,1959.3
Barangay 154,Pasay,0.4,0.0,3.389,-0.4071,0.0,0.0,1.35,6.95,0.7346,209.7
Barangay 154,Manila,4.5,2.382,1.859,0.1881,0.0,0.0,1.12,6.13,0.6162,351.3
Barangay 155,Caloocan,3.3,1.761,1.017,0.0805,0.0,0.0,12.97,28.8,0.6701,1895.8
Barangay 155,Pasay,1.7,2.622,4.403,0.3366,0.0,0.0,0.55,6.15,0.7488,118.5
Barangay 155,Manila,1.9,2.165,0.172,-0.0186,0.0,0.0,0.16,5.54,0.7124,589.6
Barangay 156,Caloocan,2.7,6.08,3.238,-0.1092,0.0,0.0,9.16,29.38,0.6778,2093.9
Barangay 156,Manila,1.6,3.565,3.153,0.0598,0.0,0.0,0.57,5.87,0.6735,478.5
Barangay 157,Pasay,2.2,3.517,1.549,0.4727,0.0,0.0,0.29,5.89,0.7419,205.6
Barangay 157,Caloocan,3.2,4.965,3.002,-0.0779,0.0,0.0,13.24,30.85,0.6937,2053.4
Barangay 157,Manila,1.9,2.451,3.462,-0.4894,0.0,0.0,0.61,5.91,0.6876,569.7
Barangay 158,Pasay,1.7,6.187,2.358,0.5186,0.0,0.0,1.24,6.84,0.7292,445.7
Barangay 158,Caloocan,27.5,8.138,4.783,0.2164,0.0,0.0,8.31,29.17,0.5973,2269.4
Barangay 158,Manila,2.4,0.693,0.0,0.1167,0.0,0.0,0.7,6.0,0.7147,398.6
Barangay 159,Pasay,3.1,4.172,1.877,0.4137,0.0,0.0,1.27,7.85,0.746,654.2
Barangay 159,Caloocan,54.2,5.668,3.997,-0.072,0.0,0.0,9.27,29.33,0.7387,2940.4
Barangay 159,Manila,1.9,1.497,0.252,-0.096,0.0,0.0,0.22,5.52,0.689,521.2
Barangay 16,Pasay,1.6,1.309,0.58,0.3002,0.0,0.0,0.8,7.2,0.7276,389.0
Barangay 16,Caloocan,6.2,1.785,1.045,0.2879,0.0,0.0,3.56,8.36,0.738,1077.2
Barangay 160,Pasay,1.7,4.832,1.853,0.3768,0.0,0.0,2.16,8.49,0.75,564.5
Barangay 160,Manila,1.3,1.643,0.214,-0.0638,0.0,0.0,0.11,5.41,0.7177,498.6
Barangay 161,Pasay,5.9,5.717,1.196,0.5388,0.0,0.0,2.41,8.09,0.7359,422.7
Barangay 162,Pasay,3.1,3.909,1.731,0.3272,0.0,0.0,1.77,7.37,0.7392,265.5
Barangay 162,Caloocan,49.8,7.901,7.487,-0.3626,0.0,0.0,9.15,21.07,0.7037,2925.7
Barangay 163,Pasay,1.8,3.641,1.397,0.2089,0.0,0.0,1.64,7.24,0.7409,209.1
Barangay 163,Caloocan,28.8,7.963,3.793,0.2574,0.0,0.0,7.66,22.33,0.7093,3777.5
Barangay 163,Manila,5.0,1.929,0.324,0.2485,0.0,0.0,0.8,6.37,0.7218,660.5
Barangay 164,Pasay,1.8,3.525,0.82,0.2234,0.0,0.0,1.65,7.25,0.7522,171.0
Barangay 164,Caloocan,55.9,7.034,5.982,0.1444,0.0,0.0,6.16,22.65,0.7266,4275.5
Barangay 164,Manila,2.0,3.459,0.616,0.4103,0.0,0.0,0.73,6.33,0.7161,682.3
Barangay 165,Pasay,6.0,2.791,0.548,0.3932,0.0,0.0,1.17,6.77,0.6492,91.7
Barangay 165,Manila,2.5,9.003,2.742,0.9303,0.0,0.0,1.08,6.68,0.7056,633.9
Barangay 166,Pasay,2.2,1.685,0.831,0.1974,0.0,0.0,2.08,8.47,0.7466,588.8
Barangay 166,Manila,3.5,0.442,0.856,-0.016,0.0,0.0,2.12,7.07,0.6973,485.5
Barangay 167,Pasay,1.3,3.534,2.911,-0.0383,0.0,0.0,2.69,8.29,0.7498,342.0
Barangay 167,Manila,2.9,2.02,1.825,0.232,0.0,0.0,2.4,6.73,0.7015,454.0
Barangay 168,Pasay,2.0,2.309,2.91,0.0083,0.0,0.0,1.92,7.52,0.7412,291.1
Barangay 168,Manila,3.0,0.0,0.061,0.1076,0.0,0.0,2.66,6.84,0.7288,349.1
Barangay 169,Pasay,3.7,2.845,2.381,0.3473,0.0,0.0,1.46,8.71,0.7402,818.1
Barangay 169,Manila,2.6,0.127,0.95,-0.3939,0.0,0.0,2.12,6.33,0.736,275.3
Barangay 17,Pasay,1.0,4.843,9.471,-0.2987,0.0,0.0,2.12,8.52,0.7194,300.5
Barangay 17,Caloocan,4.8,2.917,1.528,-0.0459,0.0,0.0,1.9,13.6,0.7377,1360.5
Barangay 170,Pasay,1.2,1.829,2.415,0.2194,0.0,0.0,1.54,8.8,0.753,790.7
Barangay 170,Caloocan,45.4,11.354,8.303,0.1705,0.0,0.0,10.04,61.4,0.7295,4535.5
Barangay 170,Manila,1.9,0.289,0.0,0.1541,0.0,0.0,2.58,6.63,0.7336,227.2
Barangay 171,Pasay,2.8,1.176,3.892,-0.2519,0.0,0.0,1.54,8.63,0.7454,747.4
Barangay 171,Manila,3.9,0.003,0.023,-0.0102,0.0,0.0,3.14,6.11,0.7313,199.4
Barangay 172,Pasay,4.9,2.675,2.982,-0.0199,0.0,0.0,1.91,8.55,0.7515,659.9
Barangay 172,Caloocan,137.9,5.724,7.438,-0.0729,0.0,0.0,6.97,61.06,0.7139,4192.7
Barangay 172,Manila,5.2,0.318,0.0,0.1455,0.0,0.0,0.79,5.37,0.7085,94.3
Barangay 173,Pasay,3.0,7.06,4.294,0.2107,0.0,0.0,1.93,8.48,0.7436,622.4
Barangay 174,Pasay,2.2,6.69,4.079,0.1878,0.0,0.0,2.22,8.44,0.7421,587.8
Barangay 174,Caloocan,91.9,8.79,12.358,-0.3621,0.0,0.0,20.26,71.52,0.7269,4336.6
Barangay 175,Pasay,2.2,4.708,3.035,0.1558,0.0,0.0,2.7,8.34,0.7476,479.7
Barangay 175,Manila,4.1,2.597,0.0,0.5856,0.0,0.0,0.49,5.19,0.5845,84.1
Barangay 176,Pasay,1.7,10.979,9.352,0.6292,0.0,0.0,1.79,7.9,0.7369,653.9
Barangay 176,Manila,4.2,1.669,0.071,0.3159,0.0,0.0,2.01,6.7,0.7306,238.7
Barangay 176-A,Caloocan,109.0,6.937,6.519,0.0275,0.0,0.0,16.95,62.8,0.7348,5804.1
Barangay 176-B,Caloocan,76.7,6.341,7.704,-0.0266,0.0,0.0,16.26,68.73,0.7307,5044.7
Barangay 176-C,Caloocan,72.9,6.114,7.257,0.0477,0.0,0.0,10.93,62.51,0.7178,5158.4
Barangay 176-D,Caloocan,76.2,5.057,4.788,0.1607,0.0,0.0,15.66,63.01,0.7299,5643.8
Barangay 176-E,Caloocan,77.3,8.007,8.495,-0.1518,0.0,0.0,11.54,51.79,0.7309,5764.6
Barangay 177,Pasay,6.1,4.016,5.308,0.3519,0.0,0.0,1.59,7.37,0.7409,501.6
Barangay 177,Caloocan,196.3,8.503,10.738,-0.0417,0.0,0.0,8.14,72.95,0.694,3342.1
Barangay 178,Pasay,4.2,2.769,3.431,0.1219,0.0,0.0,1.83,7.3,0.7408,231.0
Barangay 178,Caloocan,352.3,7.93,10.458,-0.09,0.0,0.0,11.32,84.12,0.7023,2590.9
Barangay 179,Pasay,4.4,1.373,0.878,0.3267,0.0,0.0,1.52,7.05,0.7453,327.7
Barangay 18,Pasay,3.7,1.403,3.015,-0.0608,0.0,0.0,0.88,7.28,0.7283,482.5
Barangay 18,Caloocan,11.1,2.589,0.611,0.47,0.0,0.0,3.3,8.13,0.7343,1049.5
Barangay 180,Makati,1.0,6.903,5.314,0.6665,0.0,0.0,0.79,6.67,0.7417,637.2
Barangay 181,Pasay,1.6,2.304,1.301,0.6473,0.0,0.0,1.48,7.08,0.7406,575.9
Barangay 182,Pasay,4.0,2.088,0.844,0.5537,0.0,0.0,1.82,7.42,0.7398,475.8
Barangay 184,Pasay,14.2,2.09,2.128,0.1419,0.0,0.0,2.73,8.67,0.7199,296.8
Barangay 185,Pasay,4.8,5.352,0.371,0.7619,0.0,0.0,4.37,10.04,0.7371,406.8
Barangay 187,Pasay,1.9,5.398,1.423,0.5437,0.0,0.0,1.88,7.48,0.7432,393.1
Barangay 188,Pasay,1.0,2.05,0.902,0.5429,0.0,0.0,2.33,7.91,0.7466,434.6
Barangay 189,Pasay,4.4,4.968,4.171,0.1647,0.0,0.0,1.01,6.46,0.7329,224.3
Barangay 19,Pasay,1.0,3.717,10.442,-0.5806,0.0,0.0,2.83,9.23,0.73,430.5
Barangay 19,Caloocan,4.7,3.567,2.56,-0.0082,0.0,0.0,1.5,11.08,0.7376,1151.3
Barangay 190,Pasay,26.9,3.532,6.231,-0.1556,0.0,0.0,0.89,6.04,0.7066,192.4
Barangay 192,Pasay,8.9,5.229,3.196,0.3212,0.0,0.0,1.3,7.27,0.7267,427.0
Barangay 193,Pasay,5.8,7.253,5.69,0.5036,0.0,0.0,1.7,7.79,0.7231,499.7
Barangay 194,Pasay,5.7,8.272,6.173,0.4963,0.0,0.0,1.68,7.79,0.7151,571.5
Barangay 195,Pasay,2.4,4.395,6.435,-0.1725,0.0,0.0,2.0,8.84,0.7145,519.7
Barangay 196,Pasay,2.0,4.771,5.629,0.5642,0.0,0.0,0.6,7.26,0.7386,652.5
Barangay 199,Pasay,2.6,5.694,2.566,0.3322,0.0,0.0,0.68,6.78,0.7018,438.7
Barangay 2,Pasay,2.2,4.853,0.914,0.7378,0.0,0.0,3.13,7.61,0.7026,295.5
Barangay 2,Caloocan,4.9,4.479,4.337,-0.1819,0.0,0.0,1.91,10.38,0.6679,1295.0
Barangay 20,Pasay,3.5,2.594,4.015,-0.0922,0.0,0.0,1.76,8.16,0.7377,612.9
Barangay 20,Caloocan,18.6,1.007,0.453,0.2553,0.0,0.0,2.23,7.09,0.7299,802.5
Barangay 200,Pasay,1.0,5.611,3.7,0.1444,0.0,0.0,1.43,7.53,0.6618,351.3
Barangay 201,Pasay,36.4,7.839,6.569,0.1535,0.0,0.0,2.53,17.0,0.7047,552.5
Barangay 21,Pasay,1.8,4.069,3.576,0.2793,0.0,0.0,2.22,8.62,0.7245,682.2
Barangay 21,Caloocan,4.8,1.368,1.014,0.0951,0.0,0.0,1.53,9.72,0.7394,954.8
Barangay 22,Pasay,0.9,5.864,3.718,0.6542,0.0,0.0,1.42,7.82,0.7345,576.3
Barangay 22,Caloocan,28.6,0.98,1.052,0.0727,0.0,0.0,1.78,6.58,0.7287,601.8
Barangay 23,Pasay,4.3,6.519,4.485,0.5074,0.0,0.0,2.53,8.93,0.7147,726.2
Barangay 23,Caloocan,3.8,0.128,0.063,0.0791,0.0,0.0,1.9,7.29,0.7414,798.4
Barangay 24,Pasay,2.9,6.84,4.404,0.5271,0.0,0.0,2.61,9.17,0.7321,697.5
Barangay 24,Caloocan,3.7,0.024,0.0,-0.0124,0.0,0.0,1.07,6.07,0.7389,729.3
Barangay 25,Pasay,3.1,5.439,1.387,0.9099,0.0,0.0,1.75,8.48,0.7194,681.3
Barangay 25,Caloocan,2.9,3.596,1.768,0.019,0.0,0.0,2.37,9.22,0.7403,779.1
Barangay 26,Pasay,1.9,6.163,5.471,0.3451,0.0,0.0,2.03,8.45,0.7375,561.4
Barangay 26,Caloocan,3.9,1.127,0.374,0.1142,0.0,0.0,2.84,7.41,0.7462,595.2
Barangay 27,Pasay,3.1,2.903,6.238,0.019,0.0,0.0,2.76,9.17,0.7157,436.2
Barangay 27,Caloocan,5.4,0.475,0.0,0.1256,0.0,0.0,1.97,6.42,0.7382,537.2
Barangay 28,Pasay,2.1,5.562,3.152,0.5421,0.0,0.0,1.49,8.78,0.7335,821.7
Barangay 28,Caloocan,55.6,1.033,0.859,0.0343,0.0,0.0,0.93,5.43,0.7005,349.7
Barangay 29,Pasay,2.5,5.594,1.347,0.8509,0.0,0.0,1.17,8.42,0.7393,706.8
Barangay 29,Caloocan,4.8,1.952,1.082,-0.1545,0.0,0.0,1.65,7.74,0.7425,627.0
Barangay 3,Pasay,2.0,4.76,1.175,0.695,0.0,0.0,4.04,7.32,0.7079,364.6
Barangay 3,Caloocan,3.7,1.773,2.295,0.0161,0.0,0.0,4.61,11.45,0.7372,1292.7
Barangay 30,Pasay,1.4,5.669,6.059,0.1395,0.0,0.0,1.58,8.6,0.7431,635.6
Barangay 30,Caloocan,7.9,3.017,0.175,0.4263,0.0,0.0,1.91,6.24,0.7383,375.4
Barangay 31,Pasay,2.9,4.624,5.16,0.1411,0.0,0.0,2.42,9.27,0.7363,579.7
Barangay 31,Caloocan,3.7,3.396,0.688,0.3455,0.0,0.0,1.47,5.67,0.7354,400.5
Barangay 313,Manila,5.5,1.883,2.511,-0.1425,0.0,0.0,4.2,10.95,0.7122,707.0
Barangay 314,Manila,5.3,1.507,2.316,-0.1228,0.0,0.0,2.78,9.58,0.728,605.8
Barangay 315,Manila,4.6,1.71,2.706,-0.052,0.0,0.0,1.68,7.98,0.734,708.9
Barangay 316,Manila,4.1,0.507,0.159,0.0598,0.0,0.0,0.91,7.21,0.7468,524.9
Barangay 317,Manila,2.8,0.384,1.455,-0.2406,0.0,0.0,1.65,7.95,0.7278,662.9
Barangay 318,Manila,1.3,1.108,1.419,0.0704,0.0,0.0,2.05,8.35,0.7299,606.3
Barangay 319,Manila,1.6,1.231,1.431,0.1123,0.0,0.0,1.97,8.27,0.7257,711.0
Barangay 32,Pasay,1.7,0.0,0.96,-0.0395,0.0,0.0,2.44,9.23,0.7418,541.7
Barangay 32,Caloocan,3.4,2.969,1.434,0.1737,0.0,0.0,0.32,4.93,0.7306,501.8
Barangay 320,Manila,2.2,0.0,0.262,-0.037,0.0,0.0,2.78,9.08,0.7439,459.2
Barangay 321,Manila,1.5,0.091,0.0,0.0091,0.0,0.0,2.85,9.15,0.7498,411.4
Barangay 322,Manila,1.6,0.394,0.394,0.0215,0.0,0.0,1.43,7.73,0.755,508.4
Barangay 323,Manila,2.2,0.844,1.504,-0.1009,0.0,0.0,1.4,7.7,0.7367,682.5
Barangay 324,Manila,1.4,0.298,1.464,-0.1198,0.0,0.0,2.26,8.56,0.7346,530.0
Barangay 325,Manila,1.0,0.367,1.533,-0.0746,0.0,0.0,3.01,9.31,0.7448,436.3
Barangay 329,Manila,1.8,1.257,1.787,0.0052,0.0,0.0,3.38,10.45,0.7465,431.6
Barangay 33,Caloocan,5.7,1.628,0.734,0.2285,0.0,0.0,0.5,4.7,0.7376,355.0
Barangay 330,Manila,2.5,1.101,1.848,-0.0398,0.0,0.0,2.03,9.33,0.7337,416.6
Barangay 335,Manila,2.7,0.97,1.029,0.0398,0.0,0.0,3.44,9.8,0.739,483.2
Barangay 336,Manila,3.6,1.68,0.095,0.245,0.0,0.0,2.06,8.36,0.7056,732.0
Barangay 337,Manila,2.7,1.199,0.685,0.1267,0.0,0.0,2.06,8.36,0.7267,624.7
Barangay 338,Manila,3.2,2.479,0.758,0.2424,0.0,0.0,1.94,8.24,0.7273,790.3
Barangay 339,Manila,2.9,0.667,2.681,-0.1418,0.0,0.0,2.51,8.81,0.7402,541.6
Barangay 34,Caloocan,5.7,1.128,0.092,0.1461,0.0,0.0,1.18,5.38,0.7265,155.2
Barangay 340,Manila,2.8,1.12,1.248,0.0105,0.0,0.0,2.07,8.37,0.7343,724.5
Barangay 341,Manila,3.2,3.345,0.656,0.3835,0.0,0.0,1.29,7.59,0.6982,875.3
Barangay 342,Manila,6.0,4.637,0.677,0.2434,0.0,0.0,1.56,7.86,0.7317,924.1
Barangay 35,Pasay,2.8,7.687,8.116,0.221,0.0,0.0,1.55,7.95,0.7133,617.2
Barangay 35,Caloocan,4.6,5.036,0.601,0.4812,0.0,0.0,1.14,5.34,0.7288,222.7
Barangay 36,Caloocan,5.0,2.302,2.479,-0.051,0.0,0.0,3.41,8.0,0.7245,637.1
Barangay 37,Pasay,5.1,6.109,10.49,-0.4537,0.0,0.0,1.61,8.28,0.7232,787.7
Barangay 37,Caloocan,5.4,0.506,0.914,-0.0941,0.0,0.0,2.07,7.02,0.7201,686.2
Barangay 38,Caloocan,4.1,0.263,0.064,0.0379,0.0,0.0,4.26,9.58,0.7307,832.1
Barangay 39,Caloocan,1.7,6.771,4.582,0.2005,0.0,0.0,1.11,11.99,0.7448,1110.7
Barangay 4,Pasay,2.7,8.613,8.101,0.2773,0.0,0.0,1.35,6.95,0.7054,446.1
Barangay 4,Caloocan,6.2,2.723,1.115,0.0045,0.0,0.0,1.39,7.33,0.6973,1052.8
Barangay 40,Pasay,5.3,2.801,2.266,0.3062,0.0,0.0,2.42,9.65,0.7396,755.6
Barangay 40,Caloocan,1.9,2.28,1.315,0.3398,0.0,0.0,3.73,13.78,0.7458,1139.2
Barangay 41,Pasay,3.7,6.579,4.323,0.5628,0.0,0.0,1.18,8.38,0.7385,377.9
Barangay 41,Caloocan,3.7,0.689,0.0,0.4236,0.0,0.0,6.46,15.55,0.7475,1179.0
Barangay 42,Pasay,2.4,6.201,3.925,0.655,0.0,0.0,0.95,7.48,0.733,439.8
Barangay 42,Caloocan,3.1,2.468,0.0,0.5017,0.0,0.0,7.63,12.66,0.7337,984.5
Barangay 43,Pasay,1.7,6.114,3.551,0.5834,0.0,0.0,0.68,6.48,0.7386,509.0
Barangay 44,Caloocan,3.5,0.683,0.83,0.0233,0.0,0.0,7.14,13.93,0.7368,1025.6
Barangay 45,Pasay,3.0,2.75,5.023,0.0508,0.0,0.0,2.1,7.81,0.7114,650.1
Barangay 45,Caloocan,3.7,1.132,0.0,0.3968,0.0,0.0,7.99,16.58,0.7098,1236.5
Barangay 46,Pasay,3.8,5.293,3.832,0.4065,0.0,0.0,0.84,6.44,0.7334,790.1
Barangay 46,Caloocan,3.9,2.788,1.883,-0.0853,0.0,0.0,1.62,9.96,0.7267,921.2
Barangay 462,Manila,2.4,3.561,3.191,0.1065,0.0,0.0,2.37,8.67,0.7381,1063.3
Barangay 463,Manila,1.4,1.809,2.984,-0.212,0.0,0.0,1.16,7.46,0.7362,922.5
Barangay 464,Manila,2.4,3.163,2.982,-0.1439,0.0,0.0,1.86,8.16,0.7341,957.8
Barangay 465,Manila,1.3,4.381,2.807,0.1564,0.0,0.0,1.1,7.4,0.735,983.5
Barangay 466,Manila,2.1,7.356,3.05,0.4709,0.0,0.0,2.23,8.53,0.7329,842.8
Barangay 467,Manila,1.2,1.861,2.686,-0.1312,0.0,0.0,1.26,7.56,0.7404,949.7
Barangay 468,Manila,1.3,3.96,3.073,-0.0223,0.0,0.0,2.53,8.85,0.738,1105.4
Barangay 469,Manila,1.2,9.603,4.656,0.1901,0.0,0.0,2.24,8.56,0.7202,1135.5
Barangay 47,Pasay,5.2,2.612,6.831,0.1927,0.0,0.0,1.93,8.19,0.732,833.4
Barangay 47,Caloocan,3.5,1.39,0.498,0.1123,0.0,0.0,7.34,15.09,0.7429,1110.8
Barangay 470,Manila,27.3,8.603,6.042,0.3101,0.0,0.0,1.56,7.86,0.591,1128.2
Barangay 471,Manila,3.6,4.39,2.855,0.4038,0.0,0.0,1.88,8.18,0.7307,853.5
Barangay 48,Pasay,2.1,3.261,4.595,0.3113,0.0,0.0,2.33,7.93,0.7303,893.7
Barangay 48,Caloocan,3.7,1.464,0.842,0.1985,0.0,0.0,9.86,17.89,0.7034,1307.7
Barangay 487,Manila,2.2,3.164,0.371,0.326,0.0,0.0,0.15,6.45,0.7407,890.9
Barangay 49,Caloocan,6.2,2.003,0.606,0.2184,0.0,0.0,1.34,10.49,0.681,1068.1
Barangay 5,Pasay,2.1,9.995,10.506,0.1277,0.0,0.0,0.33,6.71,0.6785,506.7
Barangay 5,Caloocan,6.4,4.38,3.216,0.0629,0.0,0.0,9.16,14.39,0.705,1418.6
Barangay 50,Pasay,0.8,2.677,4.585,-0.0902,0.0,0.0,1.73,7.69,0.7351,1058.4
Barangay 50,Caloocan,3.0,2.181,0.0,-0.0054,0.0,0.0,3.18,12.33,0.7384,1107.2
Barangay 51,Pasay,2.5,2.536,4.737,-0.1171,0.0,0.0,0.6,7.14,0.7335,1163.0
Barangay 51,Caloocan,5.8,1.994,1.407,0.0339,0.0,0.0,8.68,17.69,0.7325,1329.2
Barangay 52,Pasay,3.1,3.992,5.176,0.0881,0.0,0.0,0.45,7.7,0.7332,1112.3
Barangay 52,Caloocan,2.4,2.822,1.291,0.2156,0.0,0.0,3.53,12.69,0.7059,1251.6
Barangay 53,Pasay,1.0,2.363,4.837,-0.2603,0.0,0.0,0.13,7.63,0.7358,1186.6
Barangay 53,Caloocan,5.6,1.385,0.0,-0.0997,0.0,0.0,5.18,14.8,0.7019,1256.8
Barangay 54,Pasay,1.6,2.097,4.548,-0.0583,0.0,0.0,1.3,7.68,0.7294,1279.4
Barangay 54,Caloocan,7.8,0.075,0.398,-0.2383,0.0,0.0,6.69,17.98,0.7251,1517.0
Barangay 55,Pasay,2.1,5.397,3.894,0.4048,0.0,0.0,0.56,7.96,0.7386,1113.3
Barangay 55,Caloocan,7.1,0.56,0.327,-0.1602,0.0,0.0,7.74,17.18,0.7336,1397.0
Barangay 555,Manila,1.9,3.63,0.815,0.1757,0.0,0.0,5.8,11.58,0.7461,1143.2
Barangay 556,Manila,1.4,3.241,0.735,0.0754,0.0,0.0,5.21,10.7,0.7455,1149.4
Barangay 557,Manila,1.3,2.896,0.658,-0.0194,0.0,0.0,4.7,10.1,0.7504,1156.6
