barangay_name,lgu_name,total_ha,canopy_pct_2025,canopy_pct_2019,canopy_trend_pct_per_yr,flood_frac,flood_pct,hand_m,elev_m,builtup_prob,dist_water_m
Marcelo Green Village,Paranaque,305.2,8.633,7.004,0.1917,0.00142,0.142,5.95,29.71,0.7088,970.5
Sucat,Muntinlupa,277.8,10.432,8.087,0.1988,0.00138,0.138,7.57,14.04,0.6204,371.0
Loyola Heights,Quezon City,258.8,15.053,13.385,0.0831,0.00135,0.135,15.74,54.73,0.6463,1337.7
Central Bicutan,Taguig,65.5,13.196,13.997,-0.1686,0.00133,0.133,11.98,27.29,0.6741,852.1
Baesa,Quezon City,201.4,5.326,3.564,0.0274,0.0013,0.13,4.95,25.77,0.7015,3179.9
Kaybiga,Caloocan,187.0,10.295,5.509,0.374,0.00129,0.129,8.75,38.81,0.6586,4748.8
Putatan,Muntinlupa,137.8,5.289,5.79,-0.0139,0.00127,0.127,8.63,23.32,0.7169,953.2
San Isidro,Paranaque,274.3,8.196,6.844,0.2689,0.00127,0.127,2.71,14.17,0.7292,1855.7
Western Bicutan,Taguig,625.0,10.827,9.187,0.1982,0.00117,0.117,7.75,23.55,0.5936,1163.2
Pamplona Tres,Las Pinas,225.6,5.712,5.931,0.0631,0.00116,0.116,3.24,13.78,0.7265,876.1
Almanza Uno,Las Pinas,230.1,8.046,7.776,0.0928,0.00114,0.114,4.47,33.31,0.6882,777.6
Manuyo Dos,Las Pinas,218.5,6.577,6.185,-0.075,0.00114,0.114,1.64,8.55,0.6363,919.7
Canumay West,Valenzuela,171.9,6.223,3.541,-0.0301,0.00108,0.108,6.41,15.27,0.6859,2634.9
Tanza,Navotas,515.0,2.455,2.999,0.011,0.00106,0.106,1.17,2.7,0.1348,15.4
Holy Spirit,Quezon City,336.3,10.031,8.939,0.0314,0.00103,0.103,7.25,72.75,0.7294,2344.9
Barangay 38,Pasay,10.1,3.461,5.081,-0.0972,0.00102,0.102,1.24,8.59,0.7354,932.5
Bagumbayan,Taguig,224.6,4.809,4.431,0.0758,0.00098,0.098,9.0,15.36,0.6845,289.4
Bungad,Quezon City,50.9,4.702,3.642,0.0378,0.00098,0.098,7.93,30.43,0.7281,1864.2
Barangay 173,Caloocan,92.8,13.635,14.502,-0.2554,0.00094,0.094,6.41,53.23,0.7166,5115.7
Fort Bonifacio,Taguig,447.8,11.855,9.509,0.2488,0.00093,0.093,11.37,26.18,0.5851,916.8
Punturin,Valenzuela,183.7,7.827,4.09,0.2788,0.00092,0.092,5.88,17.07,0.6576,2070.0
Buli,Muntinlupa,41.1,6.965,8.444,-0.1531,0.0009,0.09,2.94,7.21,0.6294,378.3
Talon Uno,Las Pinas,200.0,5.829,5.552,0.1063,0.00087,0.087,3.96,28.09,0.7137,2084.5
Talayan,Quezon City,48.9,11.732,8.958,-0.0756,0.00082,0.082,2.38,11.7,0.7183,1638.1
South Triangle,Quezon City,112.6,5.879,3.912,0.1746,0.00078,0.078,7.32,36.85,0.7256,1548.5
Bagbag,Quezon City,194.3,10.477,9.125,-0.1845,0.00076,0.076,7.27,40.23,0.6937,4417.1
Lingunan,Valenzuela,214.3,6.448,3.784,-0.0094,0.00076,0.076,2.64,8.47,0.6324,1539.6
Barangay 144,Manila,4.1,0.241,0.048,0.1327,0.00074,0.074,0.83,5.38,0.6773,72.4
Mabini-J. Rizal,Mandaluyong,20.9,10.384,6.019,0.4202,0.00073,0.073,4.51,6.14,0.6938,213.6
Magallanes,Makati,122.8,8.448,8.465,0.24,0.00071,0.071,2.99,10.85,0.7133,628.6
Barangay 176-F,Caloocan,101.8,10.639,11.799,-0.249,0.0007,0.07,8.18,46.11,0.7037,6168.2
Veinte Reales,Valenzuela,189.1,5.376,2.55,0.0574,0.0007,0.07,2.15,6.46,0.6482,1460.3
Don Bosco,Paranaque,378.8,6.986,6.244,0.1178,0.00069,0.069,6.27,21.34,0.7335,1771.3
Tatalon,Quezon City,93.3,6.93,4.225,0.0411,0.00069,0.069,2.75,11.27,0.7287,532.7
Moonwalk,Paranaque,447.3,8.015,6.355,0.2823,0.00059,0.059,3.58,11.04,0.7182,1338.9
Bel-Air,Makati,172.0,9.839,8.168,0.2021,0.00057,0.057,13.27,23.4,0.6852,424.3
Deparo,Caloocan,309.9,10.436,8.554,-0.027,0.00056,0.056,7.36,47.48,0.7202,4945.7
Kalusugan,Quezon City,42.7,7.778,6.633,-0.2119,0.00054,0.054,7.57,15.87,0.6941,514.4
Greater Lagro,Quezon City,424.0,14.513,13.274,-0.0648,0.00053,0.053,9.97,69.11,0.6348,984.7
Santo Domingo,Quezon City,91.1,8.134,5.094,0.0141,0.00052,0.052,3.46,13.11,0.7263,1304.7
San Antonio,Quezon City,74.6,4.476,4.97,0.0126,0.00049,0.049,8.94,21.19,0.7349,2675.2
Talipapa,Quezon City,168.9,6.168,4.923,0.0003,0.00049,0.049,8.14,35.11,0.7168,4136.0
BF Homes,Paranaque,738.0,8.216,8.106,0.0399,0.00047,0.047,5.36,25.42,0.7061,1278.9
Sun Valley,Paranaque,190.3,7.274,6.282,0.2573,0.00046,0.046,3.21,22.22,0.7241,1056.0
Apolonio Samson,Quezon City,194.8,4.292,3.722,-0.0216,0.00045,0.045,5.53,19.75,0.7076,3142.2
Fortune,Marikina,198.1,13.534,9.505,0.2482,0.00045,0.045,11.17,39.77,0.6476,2805.4
Nagkaisang Nayon,Quezon City,282.1,9.988,6.386,0.1007,0.00044,0.044,7.99,39.79,0.7042,4631.4
Santa Cruz,Quezon City,43.5,11.541,7.651,0.0564,0.00043,0.043,6.02,19.24,0.7221,1707.6
Balingasa,Quezon City,79.2,2.9,2.102,0.0711,0.00041,0.041,4.1,19.84,0.7231,2874.7
New Era,Quezon City,63.7,8.423,8.514,-0.3405,0.00041,0.041,10.74,60.97,0.6788,1924.4
New Lower Bicutan,Taguig,120.3,4.572,5.313,-0.0334,0.00038,0.038,2.58,4.63,0.677,515.8
Marikina Heights,Marikina,239.4,14.099,12.244,-0.0149,0.00037,0.037,12.95,35.65,0.6838,2735.3
Culiat,Quezon City,252.9,11.003,10.288,-0.1473,0.00034,0.034,4.88,49.95,0.7232,2026.7
Barangay 175,Caloocan,265.8,13.163,14.061,-0.2752,0.00033,0.033,11.71,53.48,0.6941,5496.5
Buayang Bato,Mandaluyong,31.8,3.943,2.507,0.3013,0.00029,0.029,14.19,29.6,0.6354,252.6
Pinagsama,Taguig,298.7,7.078,6.289,0.0507,0.00029,0.029,7.06,15.07,0.6402,1699.8
Fairview,Quezon City,315.2,12.12,13.903,-0.3977,0.00028,0.028,7.59,59.16,0.7192,1212.1
Merville,Paranaque,309.6,7.789,6.917,0.0559,0.00028,0.028,4.51,19.35,0.7089,990.2
