rank,site_id,name,desig,iucn_cat,status,status_yr,rep_area_ha,area_ha,forest2000_ha,loss_ha,pct_of_forest2000,pct_of_pa
218,306511,Aliguay Island Protected Landscape & Seascape,Protected Landscape and Seascape,V,Designated,2018,1188.0,1189.1,27.3,0.0,0.0,0.0
219,306513,Dumanquillas Bay Protected Landscape and Seascape,Protected Landscape and Seascape,V,Designated,2018,26112.0,26132.9,272.4,0.0,0.01,0.0
220,306517,Murcielagos Island Protected Landscape and Seascape,Protected Landscape and Seascape,V,Designated,2018,100.0,100.5,5.3,0.0,0.0,0.0
221,306530,Malagos Watershed Reservation,Watershed Reservation,Not Assigned,Designated,1933,235.0,235.1,233.0,0.0,0.0,0.0
222,5208,Agoo-Damortis National Park,Protected Landscape and Seascape,V,Designated,2018,10775.0,10761.6,20.5,0.0,0.0,0.0
223,5218,Apo Reef Natural Park,Natural Park,II,Designated,2018,15772.0,15782.1,11.8,0.0,0.0,0.0
224,555549230,Tubbataha Reefs National Marine Park,Natural Park,II,Designated,2010,97030.4,96825.3,0.0,0.0,,0.0
225,555583096,"Island of Budlanan, Bugatusan, Panga, Silo, Cabgan, Canconstino, tabaon, Maagpit, and Islet of Basihan, Bugatusan, Hayaan, Inanoran , and Poom Point East of Basihan Islet (Getafe Group of Island) (Clarin Group of Island) Wilderness Area",Wilderness Area,Not Assigned,Designated,1981,38.0,38.3,2.3,0.0,0.0,0.0
226,555583101,Quezon Memorial National Park,Parks and Wildlife Center,Not Assigned,Designated,2018,24.0,23.8,10.3,0.0,0.0,0.0
227,555583102,Olango Island Wildlife Sanctuary,Wildlife Sanctuary,IV,Designated,2018,1382.0,1382.9,7.8,0.0,0.0,0.0
228,555715014,Rasa Island Wildlife Sanctuary,Wildlife Sanctuary,IV,Designated,2006,1995.0,1984.0,877.2,0.0,0.0,0.0
229,555715017,Luneta National Park,National Park,Not Assigned,Designated,1955,16.0,16.0,0.7,0.0,0.0,0.0
230,555715018,"Islands of Guinauyan, Naro, Chico, and Pobre Wilderness Area",Wilderness Area,Not Assigned,Designated,1981,151.0,151.0,61.2,0.0,0.0,0.0
231,555715019,Manila Bay Beach Resort National Park,National Park,Not Assigned,Designated,1954,465.0,464.5,0.4,0.0,0.0,0.0
232,555715027,Mangrove from Pigbucan Point to Paron Point Magrove Swamp Forest Reserve,Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,195.0,194.6,168.8,0.0,0.0,0.0
233,555715034,Pagsanjan Gorge National Park,National Park,Not Assigned,Designated,1939,167.0,166.4,165.9,0.0,0.0,0.0
234,555715044,Tubbataha Reefs,Natural Park,Not Assigned,Designated,2010,354570.2,353816.6,0.0,0.0,,0.0
235,555715050,Las Piñas-Parañaque Critical Habitat and Ecotourism Area (LPPCHEA)/Las Piñas-Parañaque,Wetland Park,IV,Designated,2018,182.0,181.5,39.2,0.0,0.0,0.0
236,555715052,Philippine Rise Marine Resource Reserve,Marine Resource Reserve,Ib,Designated,2018,352390.0,358007.9,0.0,0.0,,0.0
237,555715056,Bangan Hill National Park,National Park,II,Designated,1995,13.0,13.1,7.4,0.0,0.0,0.0
238,61483,Island of Rasa Wilderness Area,Wilderness Area,Not Assigned,Designated,1981,293.0,292.7,30.8,0.0,0.0,0.0
239,7205,Paoay Lake National Park,National Park,Not Assigned,Designated,1978,379.0,378.4,12.5,0.0,0.0,0.0
240,7206,Cassamata Hill National Park,National Park,Not Assigned,Designated,1974,55.0,55.1,24.1,0.0,0.0,0.0
241,7210,Manleluag Spring Protected Landscape,Protected Landscape,V,Designated,2018,1939.0,1936.2,1427.2,0.0,0.0,0.0
242,7213,Olongapo Naval Base Perimeter National Park,National Park,Not Assigned,Designated,1968,5.0,4.6,0.0,0.0,0.0,0.0
243,7220,Guadalupe Mabugnao Mainit Hot Spring National Park,National Park,Not Assigned,Designated,1972,62.0,62.3,44.5,0.0,0.0,0.0
244,7221,Initao-Libertad Protected Landscape and Seascape,Protected Landscape and Seascape,V,Designated,2018,921.0,921.2,54.2,0.0,0.0,0.0
245,7225,Pantuwaraya Lake National Park,National Park,Not Assigned,Designated,1965,19.0,19.1,4.0,0.0,0.0,0.0
246,7229,Lake Dapao National Park,National Park,Not Assigned,Designated,1965,998.0,998.5,31.7,0.0,0.0,0.0
247,7230,Lake Butig National Park,National Park,Not Assigned,Designated,1965,35.0,35.3,10.2,0.0,0.0,0.0
248,7236,Caramoan National Park,National Park,Not Assigned,Designated,1938,347.0,347.2,322.8,0.0,0.0,0.0
249,7237,Libmanan Caves National Park,National Park,Not Assigned,Designated,1934,19.0,18.5,18.5,0.0,0.0,0.0
250,7240,MacArthur Landing National Park (Imelda Park),National Park,Not Assigned,Designated,1977,7.0,6.8,3.9,0.0,0.0,0.0
251,845,Hundred Island National Park,National Park,Not Assigned,Designated,1982,1762.0,1759.0,213.8,0.0,0.0,0.0
