rank,site_id,name,desig,iucn_cat,status,status_yr,rep_area_ha,area_ha,forest2000_ha,loss_ha,pct_of_forest2000,pct_of_pa
125,306539,Surigao Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1990,952.0,950.9,922.6,8.5,0.92,0.89
126,7243,Mts. Palay-palay-Mataas-na-Gulod National Park,Protected Landscape,V,Designated,2018,3973.0,3970.5,3523.8,8.5,0.24,0.214
127,306413,Talaytay River Watershed Forest Reserve,Protected Landscape,V,Designated,2018,3598.0,3599.9,3573.4,7.8,0.22,0.217
128,306414,Buenavista Watershed Forest Reserve,Protected Landscape,V,Designated,2018,287.0,287.3,280.4,7.8,2.8,2.73
129,306423,Alabat Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1987,317.0,317.0,316.4,7.1,2.24,2.232
130,18473,Lake Buluan Game Refuge and Bird Sanctuary,Game Refuge and Bird Sanctuary,Not Assigned,Designated,1929,8367.0,8365.2,2427.3,7.0,0.29,0.083
131,555715038,"Island of Polilio, Alabat, Cabelete, Jomalig, Patnanongan, Kalotkot, Kalongkooan, Palasan, Calabao, Icol and San Rafael Mangrove Swamp Forest Reserve",Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,4750.0,4751.2,4080.1,6.7,0.16,0.141
132,306445,"Panciscan Pt. in Bitos Bay up to Bano Sanlay, Panicijan River in Butuan Bay; Mangroves along the banks of Sta. Rosa River in San Jacinto town Mangrove Swamp Forest Reserve",Natural Park,II,Designated,2018,519.0,519.2,233.7,6.5,2.78,1.253
133,842,Mayon Volcano National Park,Natural Park,II,Designated,2018,5327.0,5330.4,3327.2,6.5,0.2,0.122
134,5210,Mt. Arayat National Park,National Park,Not Assigned,Designated,1937,3707.0,3704.1,2602.9,6.3,0.24,0.169
